level,metric,period1,period2,tau_mean,tau_median,tau_min,tau_max,tau_sd,R,tau_obs,p_mc_greater
edge,pair_count,2001-2005,2006-2010,0.5459367588580686,0.5686144602202662,0.10821091383745124,0.8326739387426164,0.1323278950223286,200,0.38084853540862806,0.175
edge,pair_count,2006-2010,2011-2015,0.6086129601977589,0.6166032296776387,0.28749382404433727,0.7898631698325239,0.08032411085555927,200,0.6722049569381584,0.40298507462686567
edge,pair_count,2011-2015,2016-2020,0.5920415595314679,0.5915213307415015,0.3669773923871963,0.7606628374251415,0.06879629127765897,200,0.5616435245402309,0.6218905472636815
edge,pair_count,2016-2020,2021-2025,0.5532492577922103,0.5579798569613352,0.3388734719136464,0.7222222222222222,0.06324355222624826,200,0.5984343856943808,0.43283582089552236
edge,edge_betweenness,-2000,2001-2005,0.010551086022028533,0.022222222222222223,-0.6888888888888888,0.6,0.24810583979073325,200,0.3197048113342539,0.22885572139303484
edge,edge_betweenness,2001-2005,2006-2010,0.1811921973901347,0.19000933706816062,-0.45454545454545453,0.5954415954415955,0.18550582303198276,200,0.32104197006965834,0.4975124378109453
edge,edge_betweenness,2006-2010,2011-2015,0.35180353496382094,0.3606343098617669,-0.043576270751127646,0.7219512195121951,0.13028002388776536,200,0.27333333333333326,0.5223880597014925
edge,edge_betweenness,2011-2015,2016-2020,0.4150284710653574,0.4186080089065164,0.05513784461152883,0.625974025974026,0.10023184358367007,200,0.39393939393939387,0.8407960199004975
edge,edge_betweenness,2016-2020,2021-2025,0.417154497936925,0.4210147458783065,0.14603573264883754,0.6313725490196079,0.09047402198978811,200,0.3512107620838369,0.4925373134328358
edge,edge_betweenness_weighted,-2000,2001-2005,-0.0059661590321983485,-0.005815526314990443,-1.0,1.0,0.2901213161624674,200,0.4784644854239285,0.08955223880597014
edge,edge_betweenness_weighted,2001-2005,2006-2010,0.20790238251903348,0.22536311787348678,-0.3221879782644048,0.5939374312679868,0.16540866382540398,200,0.16393587447442384,0.8009950248756219
edge,edge_betweenness_weighted,2006-2010,2011-2015,0.4184246110596173,0.41846526582343646,0.11104816611287681,0.6613802901836777,0.11784496725265255,200,0.6234938878505727,0.06965174129353234
edge,edge_betweenness_weighted,2011-2015,2016-2020,0.48523458254420504,0.49612881335630654,0.20475484205625266,0.7228476438185047,0.09572203691594294,200,0.42982495828731,0.5422885572139303
edge,edge_betweenness_weighted,2016-2020,2021-2025,0.43065695256852726,0.43059425490809644,0.188940048612719,0.6420407665850129,0.09424440458068785,200,0.4224005036579219,0.9353233830845771
triangle,triangle_count,-2000,2001-2005,0.27232339001213934,0.3556489031712803,-0.9999999999999999,1.0,0.5692249929081108,200,0.3273268353539886,0.948905109489051
triangle,triangle_count,2001-2005,2006-2010,0.3922595460031687,0.44454957845612364,-0.3468439878096479,0.9999999999999999,0.2807503112724969,200,0.34045882057130067,0.8955223880597015
triangle,triangle_count,2006-2010,2011-2015,0.5746591198012001,0.5827447018322295,0.18779365718855037,0.8384337406863004,0.11155312188710828,200,0.5891270032880942,0.9303482587064676
triangle,triangle_count,2011-2015,2016-2020,0.5109704244293318,0.5117415399099832,0.23874645316800314,0.7191344616834447,0.09424315447553724,200,0.5478624488739688,0.7064676616915423
triangle,triangle_count,2016-2020,2021-2025,0.4535817640760662,0.44829938481446197,0.17618653753097266,0.6718091552914164,0.08998455908721652,200,0.5607239944119511,0.22885572139303484
