short_name,bet_edge_ratio,bet_edge_ratio_raw,avg_pair_count,med_pair_count,bet_edge_ratio_median,bet_edge_ratio_std,bet_edge_ratio_min,bet_edge_ratio_max,rank
M1-D14,0.6541375291375284,0.010469452045538986,3.5,3.0,0.5454545454545444,0.7759036786531537,0.0,1.5256410256410247,0.879746835443038
M1-D2,0.29902840442056094,0.00960291129728469,13.666666666666666,8.0,0.3118724956960249,0.24112298617118882,0.0,0.5384615384615375,0.810126582278481
M1-D3,0.2589306989306988,0.003660520906897717,20.8,26.0,0.2706552706552705,0.16316798288856374,0.0,0.42328042328042303,0.7911392405063291
M1-D4,1.685049518382851,0.02033306199972866,4.0,4.0,1.685049518382851,1.086033899038517,0.9171075837742494,2.4529914529914527,0.9746835443037974
M1-D5,1.135124135124135,0.013702347035680367,3.3333333333333335,2.0,0.952380952380952,1.2366640894930243,0.0,2.4529914529914527,0.9367088607594937
M1-D6,0.18356106839401445,0.00690230892496366,17.0,17.0,0.18932918932918907,0.06817121379333925,0.07240323029796696,0.2630718954248364,0.759493670886076
M1-D7,0.9262311762311758,0.013935155692402062,6.5,5.0,0.8789173789173785,0.388318826682991,0.518518518518518,1.428571428571428,0.9240506329113924
M1-R1,0.5828844286504271,0.013326803852646289,12.0,14.0,0.3325774754346183,0.6463441683531883,0.18321279859741374,1.7272727272727268,0.8291139240506329
M1-R2,0.18177438937242854,0.004300604973736543,43.666666666666664,46.0,0.21377465127465123,0.08530368937207242,0.0522875816993464,0.2592592592592593,0.7658227848101266
M1-R3,0.7966986716986714,0.014099829317220616,14.0,16.0,0.5483035483035481,0.6670734141977905,0.31746031746031733,1.7727272727272718,0.8860759493670886
M1-R4,0.24526310453988764,0.00813981008003015,48.333333333333336,57.0,0.2375844924864532,0.05699779500725486,0.16999999999999993,0.31123560535325234,0.7784810126582279
M1-R5,0.43304843304843255,0.005698005698005691,4.0,4.0,0.43304843304843255,0.6124229671815106,0.0,0.8660968660968651,0.8670886075949367
M1-R6,1.1200096200096186,0.019459606416128133,2.6666666666666665,2.0,1.5873015873015839,0.974377664404036,0.0,1.7727272727272718,0.9683544303797469
M1-R7,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.25
M1-R8,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M1-R9,2.752136752136751,0.03276353276353275,2.0,2.0,2.752136752136751,,2.752136752136751,2.752136752136751,1.0
M2-D1,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.25
M2-D13,0.0,0.0,4.0,4.0,0.0,,0.0,0.0,0.25
M2-D14,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
