citingPaper,citedPaper
https://openalex.org/W3125052842,https://openalex.org/W2148814768
https://openalex.org/W3145594932,https://openalex.org/W2148814768
https://openalex.org/W3190097825,https://openalex.org/W2148814768
https://openalex.org/W3216038618,https://openalex.org/W2148814768
https://openalex.org/W4238048379,https://openalex.org/W2148814768
https://openalex.org/W4390066466,https://openalex.org/W2148814768
https://openalex.org/W439017983,https://openalex.org/W2148814768
https://openalex.org/W2802089178,https://openalex.org/W2470832101
https://openalex.org/W3027769937,https://openalex.org/W2470832101
https://openalex.org/W2900408224,https://openalex.org/W2470832101
https://openalex.org/W2943421593,https://openalex.org/W2470832101
https://openalex.org/W3001385022,https://openalex.org/W2470832101
https://openalex.org/W1912659445,https://openalex.org/W2123210148
https://openalex.org/W4285024880,https://openalex.org/W2008396968
https://openalex.org/W4390066466,https://openalex.org/W2802089178
https://openalex.org/W4407152405,https://openalex.org/W3045264130
https://openalex.org/W4289222991,https://openalex.org/W2613688294
https://openalex.org/W4280580662,https://openalex.org/W2613688294
https://openalex.org/W2897475839,https://openalex.org/W2613688294
https://openalex.org/W3021741550,https://openalex.org/W2613688294
https://openalex.org/W3022704615,https://openalex.org/W2613688294
https://openalex.org/W3026679872,https://openalex.org/W2613688294
https://openalex.org/W3037705751,https://openalex.org/W2613688294
https://openalex.org/W3176622639,https://openalex.org/W2613688294
https://openalex.org/W4283764937,https://openalex.org/W2613688294
https://openalex.org/W4386370708,https://openalex.org/W2613688294
https://openalex.org/W4388938469,https://openalex.org/W2613688294
https://openalex.org/W4405654739,https://openalex.org/W2613688294
https://openalex.org/W765699370,https://openalex.org/W2613688294
https://openalex.org/W3207371012,https://openalex.org/W1983053572
https://openalex.org/W4308908946,https://openalex.org/W1983053572
https://openalex.org/W4399323633,https://openalex.org/W1983053572
https://openalex.org/W1577807578,https://openalex.org/W2079089263
https://openalex.org/W1985674062,https://openalex.org/W2079089263
https://openalex.org/W2131012252,https://openalex.org/W2079089263
https://openalex.org/W1896704912,https://openalex.org/W2042572864
https://openalex.org/W3211027916,https://openalex.org/W2042572864
https://openalex.org/W3184422859,https://openalex.org/W2912008487
https://openalex.org/W4386370708,https://openalex.org/W4280580662
https://openalex.org/W4395463994,https://openalex.org/W4280580662
https://openalex.org/W4220692802,https://openalex.org/W3018625260
https://openalex.org/W4381512763,https://openalex.org/W3143516863
https://openalex.org/W4399529338,https://openalex.org/W3088079582
https://openalex.org/W4399529338,https://openalex.org/W3027769937
https://openalex.org/W4280580662,https://openalex.org/W4238028113
https://openalex.org/W3037705751,https://openalex.org/W4238028113
https://openalex.org/W3109347625,https://openalex.org/W4238028113
https://openalex.org/W3128702014,https://openalex.org/W4238028113
https://openalex.org/W765699370,https://openalex.org/W4238028113
https://openalex.org/W4390066466,https://openalex.org/W2119977186
https://openalex.org/W2210747677,https://openalex.org/W1020822704
https://openalex.org/W2918831213,https://openalex.org/W1502476793
https://openalex.org/W3178385122,https://openalex.org/W1502476793
https://openalex.org/W4252952688,https://openalex.org/W1502476793
https://openalex.org/W2905819002,https://openalex.org/W1510224607
https://openalex.org/W3105823174,https://openalex.org/W1510224607
https://openalex.org/W2914094440,https://openalex.org/W1523582143
https://openalex.org/W2947666646,https://openalex.org/W1523582143
https://openalex.org/W4296277673,https://openalex.org/W1523582143
https://openalex.org/W1912659445,https://openalex.org/W1524458346
https://openalex.org/W2182279624,https://openalex.org/W1525853258
https://openalex.org/W3008379420,https://openalex.org/W1525853258
https://openalex.org/W2049884882,https://openalex.org/W1545014524
https://openalex.org/W4238028113,https://openalex.org/W1545014524
https://openalex.org/W4295122648,https://openalex.org/W1545014524
https://openalex.org/W1577807578,https://openalex.org/W1545014524
https://openalex.org/W1748686498,https://openalex.org/W1545014524
https://openalex.org/W1896316165,https://openalex.org/W1545014524
https://openalex.org/W1971213371,https://openalex.org/W1545014524
https://openalex.org/W2018386129,https://openalex.org/W1545014524
https://openalex.org/W2106387882,https://openalex.org/W1545014524
https://openalex.org/W2132728629,https://openalex.org/W1545014524
https://openalex.org/W2320409419,https://openalex.org/W1545014524
https://openalex.org/W2716435981,https://openalex.org/W1545014524
https://openalex.org/W2741490491,https://openalex.org/W1545014524
https://openalex.org/W2756659966,https://openalex.org/W1545014524
https://openalex.org/W2807800750,https://openalex.org/W1545014524
