from_year,to_year,weights
2010,2013,1
2014,2018,1
2012,2018,1
2010,2008,1
2008,2008,1
2005,2008,1
2020,2008,1
2014,2008,1
2015,2015,1
2021,2023,1
2018,2003,1
2006,2003,1
2005,2003,1
2015,2003,1
2017,2003,1
2019,1986,1
2009,2000,1
2014,2000,1
2005,2000,1
2002,2000,1
2013,2000,1
2021,2000,1
2000,2000,1
2012,2010,1
2025,2010,1
2017,2010,1
2021,2010,1
2018,2010,1
2016,1992,1
2011,1992,1
2000,1992,1
2017,1992,1
2018,1992,1
2019,1992,1
1999,1992,1
2023,1992,1
1981,1979,1
1980,1979,1
2008,1979,1
1995,1979,1
1997,1979,1
2025,1979,1
2013,1990,1
2006,1990,1
2002,1990,1
2008,1990,1
2017,1990,1
2020,1990,1
1999,1990,1
2022,1990,1
2023,1990,1
2020,1997,1
2009,1999,1
2017,1999,1
