citing_year,cited_year,p1.cluster,p2.cluster,citation_count
2006,1999,6,2,1
2008,2005,3,2,1
2013,2014,5,7,1
2013,2011,4,5,1
2013,2008,4,2,1
2013,2010,4,2,1
2013,2008,4,3,1
2013,2012,4,2,1
2002,1996,0,0,1
1990,1980,2,2,1
2007,2000,2,5,1
2007,2007,2,2,2
2007,2002,2,2,8
2010,1996,4,0,1
2013,2006,0,2,1
2013,2002,0,2,1
2013,2012,0,2,1
2013,2011,0,2,2
2014,2005,2,2,5
2014,1999,2,2,3
2014,1980,4,2,1
2014,2006,4,5,1
2014,2007,4,2,2
2014,2000,4,5,1
2014,2003,4,2,1
2014,2002,4,2,1
2014,2009,4,2,1
2014,2008,4,7,1
2014,2007,2,3,2
2014,1979,2,6,1
2014,2006,2,0,2
2014,2014,2,7,3
1995,1979,5,0,1
2014,2006,3,5,1
2014,2006,3,2,1
2014,2005,3,2,3
2014,2010,3,2,3
2014,2011,3,6,1
2014,1992,3,3,1
2014,2013,3,4,1
2014,1990,3,2,1
2014,2008,3,5,1
2014,2006,3,0,1
2014,2011,3,5,2
2014,1999,3,2,2
2012,2005,2,2,6
2008,2000,2,5,1
2008,2003,2,2,2
2008,2002,2,2,4
2008,2005,2,2,2
2008,1999,2,2,3
2002,1990,2,2,1
2002,1979,2,0,3
2013,2013,5,5,1
2008,1992,2,3,1
2015,2010,2,2,2
2007,2005,2,2,4
2010,2005,2,5,2
2010,2002,2,2,3
2010,2005,3,2,1
2010,2002,3,2,1
2009,1980,2,2,1
2009,2006,2,2,1
2009,2003,2,2,1
2009,2006,2,3,1
2011,1992,3,3,1
2011,2005,3,2,3
2000,1980,5,2,1
2000,1992,5,3,1
2010,2007,2,2,2
2010,1979,2,0,2
2010,2013,2,5,1
2010,1999,2,2,2
2008,2006,3,2,1
2005,1980,1,2,1
2005,1992,1,3,2
2005,1990,1,2,1
2005,2000,1,5,1
2005,2003,1,2,1
2005,2002,1,2,4
2005,1999,1,2,1
2005,1998,1,1,1
2011,2010,5,5,1
2011,1979,5,0,3
2011,2005,5,2,2
2011,2011,5,5,1
2011,2009,5,2,4
2003,2000,2,5,1
2006,1979,2,6,1
2011,1996,0,0,1
2014,1995,4,0,1
2014,2012,4,0,1
2014,2010,4,2,1
2013,2005,1,5,2
2013,1984,1,0,1
2013,2002,1,2,2
2014,1984,2,0,1
2014,2003,2,2,1
2014,2013,2,2,3
2012,2006,0,6,1
1997,1995,0,0,1
1997,1979,0,0,1
2002,1992,2,3,2
2005,1992,2,3,1
2005,2008,2,2,1
2005,2002,2,2,2
2005,1999,2,2,1
2014,2011,4,6,1
2011,2005,2,5,1
2011,1979,2,0,2
2011,1999,2,2,2
2016,1979,0,0,1
2016,2012,0,0,1
2006,1979,5,0,2
2014,2006,7,5,1
2014,1979,7,0,2
2014,2011,7,5,2
2014,2002,7,2,2
2014,2005,7,2,1
2014,2013,7,2,2
2014,2014,7,7,1
2014,2010,7,2,1
2014,2009,7,2,2
2014,1999,7,2,1
2014,2009,2,5,1
2006,1992,5,3,1
2016,2006,2,5,4
2016,2010,2,2,4
2016,2015,2,6,1
2016,2002,2,2,5
2016,2014,2,7,10
2016,2013,2,2,6
2016,2012,2,2,3
2016,2011,2,2,5
2014,1990,2,2,1
2014,1979,6,0,1
2005,2005,2,2,1
1998,1992,3,3,1
2007,2005,2,0,1
2011,2002,2,2,4
2011,2009,2,2,5
2002,2000,2,5,1
2002,2002,2,2,2
2002,1999,2,2,2
2014,1979,1,0,1
2014,2005,1,2,2
2014,2010,1,2,1
2014,2011,1,2,2
2014,2009,1,2,1
2013,2014,2,7,1
2013,1999,2,2,4
2014,2000,3,7,1
2013,2002,6,2,2
2010,2006,6,5,1
2010,2008,6,3,1
2010,2002,6,2,1
2010,2011,6,2,1
2009,2007,2,2,3
2009,2002,2,2,4
2009,2005,2,2,5
2009,1999,2,2,1
2008,1990,2,2,1
2008,2007,2,2,2
2008,1980,2,2,1
2008,2008,2,2,1
2008,2006,5,5,1
2008,2005,5,2,2
2008,1992,5,3,1
2008,2000,5,5,1
2008,2002,5,2,2
2008,2006,5,0,1
2008,1999,5,2,1
2012,1979,5,6,1
2012,2002,5,2,1
2013,2013,2,2,4
2006,1979,3,0,1
2006,2002,3,2,1
2006,1999,3,2,1
2015,2002,0,2,2
2015,2014,0,2,1
2015,2006,0,0,1
2009,1995,6,0,1
2013,2006,6,5,1
2013,1979,6,0,1
2013,2000,6,5,1
